_id,_name,_industry,_sector,_headquarters,_founded
0,Agrana,Consumer goods,Food products,Vienna,1988
1,pewag group,Industrials,Industrial machinery,Klagenfurt,1479
2,AHT Cooling Systems,Industrials,Electronic equipment,Rottenmann,1983
3,Ammerer Bed Company,Consumer goods,Durable household products,Ried im Innkreis,1763
4,ams AG,Technology,Semiconductors,Premst�tten,1981
5,Andritz,Industrials,Industrial machinery,Graz,1852
6,Atomic Skis,Consumer goods,Recreational products,Altenmarkt im Pongau,1955
7,Augarten porcelain,Consumer goods,Durable household products,Vienna,1923
8,AMAG Austria Metall AG,Industrials,Diversified industrials,Braunau am Inn,1938
9,Austria Wirtschaftsservice Gesellschaft (aws),Financials,Banks,Vienna,1954
10,Austrian Airlines,Consumer services,Airlines,Schwechat,1957
11,AVL,Industrials,Business support services,Graz,1948
12,B&R,Industrials,Electronic equipment,Eggelsberg,1979
13,Bank Austria,Financials,Banks,Vienna,1855
14,bauMax,Consumer services,Home improvement retailers,Klosterneuburg,1976
15,BAWAG,Financials,Banks,Vienna,1922
16,Bene AG,Consumer goods,Furnishings,Waidhofen an der Ybbs,1790
17,Bestattung Wien,Consumer services,Specialized consumer services,Vienna,1907
18,Billa,Consumer services,Food retailers & wholesalers,Wiener Neudorf,1953
19,B�hler-Uddeholm,Basic materials,Iron & steel,Vienna,1991
20,Borealis,Basic materials,Commodity chemicals,Vienna,1994
21,B�sendorfer,Consumer goods,Recreational products,Vienna,1828
22,Bundesimmobiliengesellschaft (BIG),Financials,Real estate holding & development,Vienna,1992
23,Cineplexx Cinemas,Consumer services,Recreational services,Vienna,1993
24,CISC Semiconductor,Technology,Semiconductors,Klagenfurt,1999
25,Delfortgroup,Basic materials,Paper,Traun,2006
26,Dependeq,Industrials,Business support services,Vienna,1999
27,Diamond Aircraft Industries,Consumer goods,Aerospace,Wiener Neustadt,1981
28,Doka Group,Industrials,Heavy construction,Amstetten,1868
29,Doppelmayr Garaventa Group,Consumer goods,Recreational products,Wolfurt,1892
30,Dorotheum,Consumer services,Specialized consumer services,Vienna,1707
31,Erste Bank,Financials,Banks,Vienna,2008
32,Fabasoft,Technology,Software,Linz,1988
33,Fischer,Consumer goods,Recreational products,Ried im Innkreis,1924
34,Frequentis,Technology,Telecommunications equipment,Vienna,1947
35,GE Jenbacher,Industrials,Industrial machinery,Jenbach,1959
36,Gericom,Technology,Computer hardware,Linz,1990
37,Gessler,Consumer goods,Distillers & vintners,Vienna,1777
38,Glock Ges.m.b.H.,Industrials,Defense,Deutsch-Wagram,1963
39,Goldscheider ceramics,Consumer goods,Durable household products,Vienna,1885
40,Julius Blum,Consumer goods,Furnishings,H�chst,1952
41,Julius Meinl,Consumer goods,Beverages,Vienna,1862
42,Kapsch,Technology,Telecommunications equipment,Vienna,1892
43,Kika,Consumer goods,Furnishings,Vienna,1973[3]
44,Kores,Consumer goods,Nondurable household products,Vienna,1887
45,KTM,Consumer goods,Automobiles,Mattighofen,1934
46,Lenzing AG,Basic materials,Commodity chemicals,Lenzing,1938
47,L�blich & Co.,Industrials,Industrial machinery,Vienna,1738
48,Lyoness,Consumer services,Specialized consumer services,Graz,2003
49,Magna Steyr,Consumer goods,Automobiles,Graz,2001
50,Mayr-Melnhof,Industrials,Containers & packaging,Vienna,1950
51,Neumann International,Industrials,Business training & employment agencies,Vienna,1971
52,Niki,Consumer services,Airlines,Schwechat,2003
53,Noctua,Consumer goods,Computer hardware,Vienna,2005
54,�AF,Consumer goods,Automobiles,Floridsdorf,1907
55,�BB,Industrials,Railroads,Vienna,1923
56,OMV,Oil & gas,Exploration & production,Vienna,1956
57,Onepharm,Health care,Biotechnology,Vienna,2005
58,�sterreichische Industrieholding AG,Financials,Asset managers,Vienna,1967
59,�sterreichische Post,Logistics,Delivery services,Vienna,1999
60,Palfinger,Industrials,Commercial vehicles & trucks,Salzburg,1932
61,Pfanner,Consumer goods,Beverages,Lauterach,1856
62,Piatnik & S�hne,Consumer goods,Recreational products,Vienna,1824
63,Plansee Group,Basic materials,Commodity chemicals,Breitenwang,1921
64,Puch,Consumer goods,Automobiles,Graz,1899
65,Raiffeisen,Financials,Banks,Vienna,1927
66,Red Bull GmbH,Consumer goods,Beverages,Fuschl am See,1987
67,RHI AG,Industrials,Industrial suppliers,Vienna,1834
68,Rosenbauer,Industrials,Commercial vehicles & trucks,Leonding,1866
69,Rotax,Industrials,Auto components,Gunskirchen,1920
70,Runtastic,Technology,Software,Pasching,2009
71,Semperit,Basic materials,Commodity chemicals,Vienna,1824
72,SKIDATA,Industrials,Electronic equipment,Gr�dig,1977
73,Steyr Mannlicher,Industrials,Defense,Sankt Ulrich bei Steyr,1864
74,Steyr Motors GmbH,Industrials,Auto components,Sankt Ulrich bei Steyr,2001
75,Steyr Tractor,Consumer goods,Automobiles,Floridsdorf,1907
76,Strabag,Industrials,Heavy construction,Vienna,1835
77,Stroh,Consumer goods,Distillers & vintners,Klagenfurt,1832
78,Swarovski,Consumer goods,Clothing & accessories,Wattens,1895
79,Taurob,Robotics,Autonomous robots,Vienna,2010
80,Telekom Austria,Telecommunications,Fixed line telecommunications,Vienna,1998
81,TourRadar,Consumer services,Travel & tourism,Vienna,2010
82,Tushek&Spigel Supercars,Consumer goods,Automobiles,Graz,2012
83,Uniqa,Financials,Full line insurance,Vienna,1922
84,Verbund,Utilities,Alternative electricity,Vienna,1947
85,Vienna Insurance Group,Financials,Full line insurance,Vienna,1824
86,Voestalpine,Basic materials,Iron & steel,Linz,1938
87,Wienerberger,Industrials,Building materials & fixtures,Vienna,1819
88,Zumtobel Lighting Group,Industrials,Building materials & fixtures,Dornbirn,1950
89,Abelag Aviation,Consumer services,Airlines,Zaventem,1964
90,Ablynx,Health care,Biotechnology,Ghent[7],2001
91,Ackermans & van Haaren,Conglomerates,-,Antwerp,1876
92,AF Compressors,Industrials,Industrial Engineering,Liege,1870
93,AG Real Estate,Financials,Real estate holding and development,Brussels,1824
94,Ageas,Financials,Consumer finance,Brussels,1990
95,Agfa-Gevaert,Technology,Computer services,Mortsel,1867
96,Agoria,Industrials,Business support services,Brussels,1946
97,AIM Productions,Technology,Computer services,Hove,1994
98,Alpro,Consumer goods,Food products,Ghent[8],1980
99,Anheuser-Busch InBev,Consumer goods,Brewers,Leuven,2008
100,Antwerp Water Works,Utilities,Water,Antwerp,1880
101,Aquafin,Utilities,Water,Antwerp,1990
102,ASL Airlines Belgium,Industrials,Delivery services,Li�ge,1999
103,Associated Weavers,Consumer goods,Clothing and accessories,Ronse,1964
104,Aveve,Consumer goods,Farming and fishing,Aalter,1890
105,Aviapartner,Industrials,Delivery services,Brussels,1949
106,Barco,Technology,Computer hardware,Kortrijk,1934
107,Base,Industrials,Business support services,Brussels,1993
108,Beaulieu International Group,Consumer goods,Clothing and accessories,Wielsbeke,1959
109,Befimmo,Financials,Real estate holding and development,Brussels,1995
110,Bekaert,Basic materials,Specialty chemicals,Kortrijk,1880
111,Belgian Beer Caf�,Consumer services,Restaurants and bars,Leuven,1998
112,Belgian Investment Company for Developing Countries,Financials,Specialty finance,Brussels,2001
113,Bpost,Industrials,Delivery services,Brussels,2000
114,Brussels Airlines,Consumer services,Airlines,Brussels,2006
115,Brussels Regional Investment Company,Financials,Specialty finance,Brussels,1984
116,Cockerill Sambre,Basic materials,Iron and steel,Seraing,1817
117,Carmeuse,Basic materials,General mining,Louvain-la-Neuve,1860
118,Cartamundi,Consumer goods,Toys,Turnhout,1970
119,Cavalier Chocolate,Consumer goods,Food products,Eeklo,1996
120,Claeys,Industrials,Commercial vehicles and trucks,Zedelgem,1906
121,Cofinimmo,Financials,Real estate services,Brussels,1983
122,Colruyt Group,Consumer services,Food retailers and wholesalers,Halle,1925
123,Compagnie Maritime Belge,Industrials,Marine transportation,Antwerp,1895
124,Confiserie Roodthooft,Consumer goods,Food products,Antwerp,1925
125,Copiepresse,Consumer services,Publishing,Brussels,2000
126,De Lijn,Consumer services,Travel and tourism,Mechelen,1991
127,Deceuninck,Basic materials,Commodity chemicals,Hooglede,1937
128,Delhaize Group,Consumer goods,Food products,Brussels,1867
129,DEME,Industrials,Heavy construction,Zwijndrecht,1991
130,D'Ieteren,Consumer services,Specialized consumer services,Brussels,1805
131,DOMO Group,Consumer goods,Clothing and accessories,Ghent,1992
132,Ecover,Consumer goods,Nondurable household products,Malle,1979
133,Effortel,Financials,Financial services,Brussels,2005
134,ETAP Lighting,Consumer goods,Building materials and fixtures,Malle,1949
135,Eurogentec,Health care,Biotechnology,Seraing,1985
136,EVS Broadcast Equipment,Technology,Telecommunications equipment,Li�ge,1994
137,Ferranti Computer Systems,Technology,Computer hardware,Antwerp,1976
138,Fluxys,Oil and gas,Exploration and production,Brussels,2001
139,Forrest Group,Basic materials,General mining,Wavre,1922
140,Gimv,Financials,Equity investment instruments,Brussels,1980[9]
141,Godiva Chocolatier,Consumer goods,Food products,Brussels,1926
142,Group Joos,Consumer services,Publishing,Turnhout,1935
143,Groupe Bruxelles Lambert,Industrials,Diversified industrials,Brussels,1902
144,Guylian,Consumer goods,Food products,Sint-Niklaas,1960
145,IMEC,Technology,Computer services,Leuven,1984
146,Imperia Automobiles,Consumer goods,Automobiles,Li�ge,1906
147,Innogenetics,Health care,Biotechnology,Ghent,1985
148,Jan De Nul,Industrials,Building materials and fixtures,Aalst,1938
149,Janssen Pharmaceutica,Health care,Pharmaceuticals,Beerse,1953
150,Jonckheere,Industrials,Commercial vehicles and trucks,Roeselare,1881
151,Katoen Natie,Industrials,Delivery services,Antwerp,1854
152,KBC Bank,Financials,Banks,Brussels,1985
153,Keytrade Bank,Financials,Investment services,Brussels,1998
154,Kinepolis,Consumer services,Recreational services,Ghent,1997
155,Larian Studios,Technology,Software,Ghent,1996
156,Libeco-Lagae,Consumer goods,Clothing and accessories,Meulebeke,1997
157,Louis Delhaize Group,Consumer services,Food retailers and wholesalers,Charleroi,1875
158,Luciad NV,Technology,Computer services,Leuven,1999
159,Materialise NV,Technology,Computer services,Leuven,1990
160,Metallo-Chimique,Basic materials,Nonferrous metals,Beerse,1919
161,Mutoh Europe nv,Consumer goods,Consumer electronics,Ostend,1990
162,Namahn,Industrials,Business support services,Brussels,1987
163,National Railway Company of Belgium,Consumer services,Rail transport,Brussels,1926
164,Compagnie Nationale � Portefeuille (CNP),Industrials,Diversified industrials,Gerpinnes,1981
165,Nyrstar,Basic materials,General mining,Balen,2007
166,Option N.V.,Technology,Computer hardware,Leuven,1986
167,Proost,Consumer services,Publishing,Turnhout,1913
168,Proximus,Telecommunications,Mobile telecommunications,Brussels,1994
169,Proximus Group,Telecommunications,Fixed line telecommunications,Brussels,1930
170,Regional Investment Company of Wallonia,Financials,Investment services,Li�ge,1979
171,Reynaers Aluminium,Basic materials,Aluminum,Duffel,1965
172,RHJ International,Financials,Asset managers,Brussels,1786
173,Ridley Bikes,Consumer goods,Recreational products,Paal,1997
174,Saluc,Consumer goods,Recreational products,P�ruwelz,1923
175,Septentrio,Consumer goods,Consumer electronics,Leuven,2000
176,Seyntex,Consumer goods,Clothing and accessories,Oostrozebeke,1908
177,Skytech,Industrials,Aerospace,Brussels,1989
178,Sofina,Financials,Equity investment instruments,Brussels,1898
179,Solvay S.A.,Basic materials,Specialty chemicals,Brussels,1863
180,Soudal,Basic materials,Specialty chemicals,Turnhout,1966
181,Sugar refinery of Tienen,Consumer goods,Food products,Tienen,1836
182,Telenet,Telecommunications,Fixed line telecommunications,Mechelen,1996
183,Teleroute,Industrials,Delivery services,Brussels,1985
184,Thermote & Vanhalst,Industrials,Commercial vehicles and trucks,Waregem,1969
185,Thomas Cook Airlines Belgium,Consumer services,Airlines,Zaventem,2001
186,Tibotec,Health care,Pharmaceuticals,Mechelen,1994
187,TiGenix,Health care,Biotechnology,Leuven,2000
188,Tractebel,Industrials,Business support services,Brussels,1986
189,Truvo,Industrials,Business support services,Antwerp,1968
190,TUIfly Belgium,Consumer services,Airlines,Zaventem,2003
191,UCB,Health care,Pharmaceuticals,Brussels,1928
192,UMedia,Consumer services,Broadcasting and entertainment,Brussels,2010
193,Umicore,Basic materials,General mining,Brussels,1989
194,Unibind,Industrials,Containers and packaging,Brussels,1939
195,Union Mini�re du Haut Katanga,Basic materials,General mining,Brussels,1906
196,Van Genechten Packaging,Industrials,Containers and packaging,Turnhout,1833
197,Van Hool,Industrials,Commercial vehicles and trucks,Koningshooikt,1947
198,Vanbreda International,Financials,Life insurance,Antwerp,1937
199,Vanparys,Consumer goods,Food products,Brussels,1889
200,Velleman,Industrials,Electronic equipment,Gavere,1975
201,Vin�otte,Industrials,Business support services,Brussels,1873
202,VLM Airlines,Consumer services,Airlines,Antwerp,1992
203,Volvo Car Gent,Consumer goods,Automobiles,Ghent,1965
204,Walloon SME finance and guarantee company,Financials,Specialty finance,Li�ge,2002
205,Zetes,Technology,Technology hardware,Brussels,1984
206,Air VIA,Consumer services,Airlines,Sofia,1990
207,Ariana Brewery,Consumer goods,Brewers,Sofia,1884
208,Armimex,Industrials,Defense,Sofia,1992
209,Arsenal AD,Industrials,Defense,Kazanlak,1878
210,Asarel Medet,Basic materials,Nonferrous metals,Panagyurishte,1964
211,Astika Brewery,Consumer goods,Brewers,Pazardzhik,1980
212,Aukro.bg,Consumer services,Broadline retailers,Sofia,2007
213,Balkanstroy,Industrials,Construction & materials,Sofia,1994
214,Balkantourist,Consumer services,Travel & tourism,Sofia,1948
215,Balkanton,Consumer services,Record label,Sofia,1952
216,BH Air,Consumer services,Airlines,Sofia,2001
217,Black Sea Studios,Technology,Software,Sofia,2001
218,Blizoo,Telecommunications,Fixed line telecommunications,Sofia,2010
219,Bulgaria Air,Consumer services,Airlines,Sofia,2002
220,Bulgarian Agricultural and Commercial Bank,Financials,Banks,Sofia,1969
221,Bulgarian Air Charter,Consumer services,Airlines,Sofia,2000
222,Bulgarian Development Bank,Financials,Banks,Sofia,1999
223,Bulgarian Energy Holding,Oil & gas,Exploration & production,Sofia,2008
224,Bulgarian National Bank,Financials,Banks,Sofia,1879
225,Bulgarian Postbank,Financials,Banks,Sofia,1991
226,Bulgarian Posts,Industrials,Delivery services,Sofia,1879
227,Bulgarian State Railways,Industrials,Railroads,Sofia,1885
228,Bulgartabac,Consumer goods,Tobacco,Sofia,1947
229,Cargoair,Industrials,Delivery services,Sofia,2007
230,Central Cooperative Bank,Financials,Banks,Sofia,1991
231,Chimimport,Conglomerates,-,Sofia,1947
232,Corecom,Consumer services,Specialty retailers,Sofia,1960
233,Cumerio Med,Basic materials,Nonferrous metals,Pirdop,1932
234,Diema,Consumer services,Broadcasting & entertainment,Sofia,1999
235,DSK Bank,Financials,Banks,Sofia,1951
236,DZI,Financials,Full line insurance,Sofia,1946
237,Economedia,Consumer services,Publishing,Sofia[1],1993[1]
238,Egmont Bulgaria,Consumer services,Publishing,Sofia,1991
239,Era,Consumer services,Publishing,Sofia,1996
240,Eurofootball,Consumer services,Gambling,Sofia,1990
241,Fantastico,Consumer services,Food retailers & wholesalers,Sofia,1991
242,First Investment Bank,Financials,Banks,Sofia,1993
243,Girdap,Financials,Banks,Ruse,1881
244,Haemimont Games,Technology,Software,Sofia,1997
245,Heli Air Services,Consumer services,Airlines,Sofia,1990
246,Hotel Rodina,Consumer services,Hotels,Sofia,1979
247,HVB Bank Biochim,Financials,Banks,Sofia,1986
248,Kamenitza,Consumer goods,Brewers,Plovdiv,1881
249,Karlsberg Bulgaria AD,Consumer goods,Brewers,Shumen,2002
250,Kino Nova,Consumer services,Broadcasting & entertainment,Sofia,2011
251,Kintex,Industrials,Defense,Sofia,1966
252,Kremikovtzi AD,Basic materials,Iron & steel,Sofia,1963
253,M3 Communications Group Inc,Consumer services,Broadcasting & entertainment,Sofia,1994
254,Maxeurope,Consumer goods,Recreational products,Plovdiv,1996
255,Mtel (Mobiltel),Telecommunications,Mobile telecommunications,Sofia,1994
256,Multigroup,Conglomerates,-,Sofia,1989[2]
257,Navibulgar,Industrials,Marine transportation,Varna,1892
258,LUKOIL Neftochim Burgas,Oil & gas,Exploration & production,Burgas,1961[3]
259,NEK EAD,Utilities,Conventional electricity,Sofia,1991
260,Neterra,Telecommunications,Fixed line telecommunications,Sofia,1996
261,Nimero,Technology,Software,Sofia,2009
262,Ontotext,Technology,Software,Sofia,2000
263,Overgas,Oil & gas,Pipelines,Sofia,1991
264,Petrol AD,Oil & gas,Pipelines,Sofia,1932
265,Pirinsko Pivo,Consumer goods,Brewers,Blagoevgrad,1969
266,Prista Oil,Basic materials,Specialty chemicals,Ruse,1993
267,Prosveta Publishing House,Consumer services,Publishing,Sofia,1945
268,Raiffeisen Bulgaria,Financials,Banks,Sofia,1994
269,Sucreries Raffineries Bulgares,Consumer goods,Food products,Sofia,1897
270,Technomarket,Consumer services,Consumer electronics,Sofia[4],1992
271,Telenor Bulgaria,Telecommunications,Mobile telecommunications,Sofia,2001
272,TEREM,Industrials,Defense,Sofia,1963[5]
273,Texim Bank,Financials,Banks,Sofia,1992
274,UniCredit Bulbank,Financials,Banks,Sofia,1964
275,Unionbank,Financials,Banks,Sofia,1991
276,United Bulgarian Bank,Financials,Banks,Sofia,1992
277,Varna shipyard,Industrials,Shipbuilding,Varna,1907
278,Vitta Foods,Consumer goods,Food products,Svilengrad,2006
279,Vivacom,Telecommunications,Fixed line telecommunications,Sofia,1992
280,VRZ Karlovo,Industrials,Commercial vehicles & trucks,Karlovo,1964
281,3. Maj,Industrials,Commercial vehicles & trucks,Rijeka,1892
282,3LHD,Industrials,Business support services,Zagreb,1994
283,A1 Hrvatska,Telecommunications,Mobile telecommunications,Zagreb,1999
284,LNG Hrvatska,Oil & gas,Exploration & production,Omi�alj,2013
285,Adriatic Croatia International Club,Consumer services,Travel & tourism,Opatija,1983
286,Adris Grupa,Consumer goods,Tobacco,Rovinj,2003
287,Agrokor,Consumer goods,Food products,Zagreb,1976
288,Aquarius Records,Consumer services,Broadcasting & entertainment,Zagreb,1995
289,Atlantic Grupa,Consumer goods,Food products,Zagreb,1991
290,Atlantska plovidba,Industrials,Marine transportation,Dubrovnik,1955
291,Badel 1862,Consumer goods,Distillers & vintners,Zagreb,1862
292,BioGnost,Health care,Pharmaceuticals,Zagreb,1990
293,Blue Line International,Industrials,Marine transportation,Split,2003
294,Bonbon,Telecommunications,Mobile telecommunications,Zagreb,2010
295,Brodosplit,Industrials,Commercial vehicles & trucks,Split,1922
296,?akove?ki mlinovi,Consumer goods,Food products,?akovec,1893
297,Carlsberg Croatia,Consumer goods,Brewers,Koprivnica,2004
298,Cedevita,Consumer goods,Soft drinks,Zagreb,1929
299,Croatia Airlines,Consumer services,Airlines,Zagreb,1989
300,Croatia Film,Consumer services,Broadcasting & entertainment,Zagreb,1946
301,Croatia osiguranje,Financials,Full line insurance,Zagreb,1884
302,Croatia Records,Consumer services,Broadcasting & entertainment,Zagreb,1947
303,Croatian National Bank,Financials,Banks,Zagreb,1990
304,Croatian Radiotelevision,Consumer services,Broadcasting & entertainment,Zagreb,1926
305,Croatian Railways,Industrials,Railroads,Zagreb,1991
306,Croteam,Technology,Software,Zagreb,1993
307,Crotram,Industrials,Commercial vehicles & trucks,Zagreb,1994
308,Dalekovod,Industrials,Electrical components & equipment,Zagreb,1949
309,Dallas Records,Consumer services,Broadcasting & entertainment,Zagreb,1994
310,Digitron,Industrials,Electronic equipment,Buje,1971
311,DOK-ING,Industrials,Diversified industrials,Zagreb,1992
312,�uro �akovi?,Industrials,Diversified industrials,Slavonski Brod,1991
313,Ericsson Nikola Tesla,Telecommunications,Mobile telecommunications,Zagreb,1949
314,European Coastal Airlines,Consumer services,Airlines,Split,2000
315,Fortenova Group,Consumer goods,Food products,Zagreb,2019
316,Franck,Consumer goods,Soft drinks,Zagreb,1892
317,Geofoto,Technology,Software,Zagreb,1993
318,Hanza Media,Consumer services,Publishing,Zagreb,1990
319,Hit Records,Consumer services,Broadcasting & entertainment,Zagreb,2003
320,H�nigsberg & Deutsch,Industrials,Business support services,Zagreb,1889
321,Hrvatska elektroprivreda,Utilities,Conventional electricity,Zagreb,1895
322,Hrvatska po�ta,Industrials,Delivery services,Zagreb,1999
323,Hrvatska po�tanska banka,Financials,Banks,Zagreb,1991
324,Hrvatske autoceste,Industrials,Transportation services,Zagreb,2001
325,Hrvatski Telekom,Telecommunications,Fixed line telecommunications,Zagreb,1998
326,HS Produkt,Industrials,Defense,Ozalj,1991
327,IN2,Technology,Software,Zagreb,1992
328,INA,Oil & gas,Exploration & production,Zagreb,1964
329,Infobip,Technology,Software,Vodnjan,2006
330,INGRA,Industrials,Heavy construction,Zagreb,1955
331,Institut IGH,Industrials,Heavy construction,Zagreb,1949
332,Iskon Internet,Technology,Internet,Zagreb,1997
333,Jadran Film,Consumer services,Broadcasting & entertainment,Zagreb,1946
334,Jadranski naftovod,Oil & gas,Pipelines,Zagreb,1974[1]
335,Jadrolinija,Industrials,Marine transportation,Rijeka,1947
336,Jamnica,Consumer goods,Soft drinks,Zagreb,1828
337,Jugoton,Consumer services,Broadcasting & entertainment,Zagreb,1947
338,Karlova?ka pivovara,Consumer goods,Brewers,Karlovac,1854
339,Kandit,Consumer goods,Food products,Osijek,1920
340,Koestlin,Consumer goods,Food products,Bjelovar,1905
341,KON?AR Group,Industrials,Electronic equipment,Zagreb,1921
342,Konstruktor-Split,Industrials,Heavy construction,Split,1945
343,Konzum,Consumer services,Food retailers & wholesalers,Zagreb,1957
344,Kraljevica Shipyard,Industrials,Commercial vehicles & trucks,Kraljevica,1729
345,Kra�,Consumer goods,Food products,Zagreb,1950
346,Ledo,Consumer goods,Food products,Zagreb,1958
347,Luka Plo?e,Industrials,Transportation services,Plo?e,1952
348,Matica hrvatska,Consumer services,Publishing,Zagreb,1842
349,Menart Records,Consumer services,Broadcasting & entertainment,Zagreb,1994
350,Narodni trgova?ki lanac,Consumer services,Broadline retailers,Zagreb,2008
351,Oda�ilja?i i veze,Technology,Internet,Zagreb,2001
352,Petrokemija,Basic materials,Commodity chemicals,Kutina,1968
353,Pivovara Li?anka,Consumer goods,Brewers,Gospi?,1997
354,Plinacro,Utilities,Gas distribution,Zagreb,2001
355,Pliva,Health care,Pharmaceuticals,Zagreb,1921
356,Plovput,Industrials,Transportation services,Split,1992
357,Podravka,Consumer goods,Food products,Koprivnica,1934
358,Primorska banka,Financials,Banks,Rijeka,2001
359,Privredna banka Zagreb,Financials,Banks,Zagreb,1966
360,Rimac Automobili,Consumer goods,Automobiles,Sveta Nedelja,2009
361,RIZ,Industrials,Electronic equipment,Zagreb,1948
362,�kolska knjiga,Consumer services,Publishing,Zagreb,1950
363,Sljeme,Consumer goods,Durable household products,Zagreb,1921
364,Splitska banka,Financials,Banks,Split,1965
365,Suzy,Consumer services,Broadcasting & entertainment,Zagreb,1972
366,Tehnika,Industrials,Business support services,Zagreb,1947
367,Tomato,Telecommunications,Mobile telecommunications,Zagreb,2006
368,TOZ Penkala,Consumer goods,Nondurable household products,Zagreb,1937
369,Trade Air,Consumer services,Airlines,Zagreb,1994
370,T�V Gredelj,Industrials,Commercial vehicles & trucks,Zagreb,1894
371,Uljanik,Industrials,Commercial vehicles & trucks,Pula,1856
372,V.B.Z.,Consumer services,Publishing,Zagreb,1991
373,Viadukt,Industrials,Transportation services,Zagreb,1947
374,Viktor Lenac Shipyard,Industrials,Commercial vehicles & trucks,Rijeka,1896
375,Vindija,Consumer goods,Food products,Vara�din,1959
376,Viro,Consumer goods,Food products,Virovitica,2002
377,Zagreb Film,Consumer services,Broadcasting & entertainment,Zagreb,1953
378,Zagreb Stock Exchange,Financials,Financial services,Zagreb,1991
379,Zagreba?ka banka,Financials,Banks,Zagreb,1914
380,Zagreba?ka pivovara,Consumer goods,Brewers,Zagreb,1892
381,Zagreba?ki elektri?ni tramvaj,Industrials,Transportation services,Zagreb,1891
382,AC Omonia,Consumer services,Sports,Nicosia,1948
383,AEK Larnaca FC,Consumer services,Sports,Larnaca,1994
384,AEL F.C.,Consumer services,Sports,Limassol,1930
385,Allbiz,Industrials,Business support services,Nicosia[8],1999
386,Anorthosis F.C.,Consumer services,Sports,Larnaca,1911
387,APOEL B.C.,Consumer services,Sports,Nicosia,1947
388,APOEL FC,Consumer services,Sports,Nicosia,1926
389,APOEL V.C.,Consumer services,Sports,Nicosia,1928
390,Apollon Limassol,Consumer services,Sports,Limassol,1954
391,Armida Publications,Consumer services,Publishing,Nicosia,1997
392,ASBIS,Technology,Computer hardware,Limassol,1990
393,Austrian Lloyd Ship Management,Industrials,Marine transportation,Limassol,1991
394,Bank of Cyprus,Financials,Banks,Nicosia,1899
395,Celestyal Cruises,Consumer services,Travel & tourism,Limassol,1986
396,Central Bank of Cyprus,Financials,Banks,Nicosia,1963
397,Charlie Airlines,Consumer services,Travel & Leisure,Larnaca,2016
398,Cyprus Broadcasting Corporation,Consumer services,Broadcasting,Nicosia,1953
399,Cyprus Civil Aviation Authority,Consumer services,Air traffic management,Nicosia,1955
400,Cyprus College,Consumer services,Education,Nicosia,1961
401,Cyprus College of Art,Consumer services,Education,Paphos,1969
402,Cyprus Development Bank,Financials,Banks,Nicosia,1963
403,Cyprus Institute of Marketing,Consumer services,Education,Nicosia,1978
404,Cyprus Int. Instit. for Environ. & Public Health,Technology,Research,Limassol,2004
405,Cyprus Internet Exchange,Telecommunications,Fixed line telecom,Nicosia,1999
406,Cyprus Mail,Consumer services,Publishing,Nicosia,1945
407,Cyprus Mines Corporation,Basic materials,General mining,Nicosia,1916
408,Cyprus Neuroscience and Technology Institute,Technology,Research,Nicosia,1991
409,Cyprus News Agency,Consumer services,Media,Nicosia,1976
410,Cyprus Ports Authority,Consumer services,Ship traffic management,Nicosia,1973
411,Cyprus Postal Services,Industrials,Delivery services,Nicosia,-
412,Cyprus State Fairs Authority,Consumer services,General retailers,Nicosia,1968
413,Cyprus Stock Exchange,Financials,Investment services,Nicosia,1996
414,Cyprus University of Technology,Consumer services,Education,Limassol,2004
415,Cyprus Weekly,Consumer services,Publishing,Nicosia,1979
416,CYTA,Telecommunications,Fixed line telecom,Nicosia,1961
417,Doxa Katokopias FC,Consumer services,Sports,Peristerona,1954
418,Electricity Authority of Cyprus,Utilities,Conventional electricity,Nicosia,1952
419,Elias Neocleous & Co LLC,Consumer services,Legal,Limassol,2017
420,EuroAfrica Interconnector,Utilities,Electricity,Nicosia,2017
421,EuroAsia Interconnector,Utilities,Electricity,Nicosia,2010
422,European University Cyprus,Consumer services,Education,Nicosia,1961
423,Financial Mirror,Consumer services,Publishing,Nicosia,1993
424,Frederick University,Consumer services,Education,Limassol,1965
425,Joannou & Paraskevaides,Industrials,Heavy construction,Guernsey,1961
426,Health Insurance Organisation,Financials,Full line insurance,Nicosia,-
427,Hellenic Bank,Financials,Banks,Nicosia,1976
428,Imperio Properties,Financials,Real estate development,Limassol,2003
429,IronFX,Financials,Investment services,Limassol,2010
430,KEO,Consumer goods,Soft drinks,Limassol,1927
431,Larnaca International Airport,Consumer services,Travel & leisure,Larnaca,1975
432,Leon Beer,Consumer goods,Brewers,Nicosia,1937
433,Leptos Estates,Financials,Real estate development,Paphos,1960
434,Lois Builders,Industrials,Heavy construction,Nicosia,1977
435,Medochemie,Health care,Pharmaceuticals,Limassol,1976
436,METRO Foods Trading,Consumer services,Food retailers & wholesalers,Nicosia,1982
437,Moufflon Publications,Consumer services,Publishing,Nicosia,1967
438,Neapolis University Paphos,Consumer services,Education,Paphos,2007
439,NOVA Cyprus,Consumer services,Media,Nicosia,2004
440,Omega TV Cyprus,Consumer services,Media,Nicosia,1992
441,Open University of Cyprus,Consumer services,Education,Nicosia,2002
442,Pafos FC,Consumer services,Sports,Pafos,2014
443,Paphos General Hospital,Consumer services,Health,Paphos,1992
444,Paphos International Airport,Consumer services,Travel & leisure,Paphos,2008
